iter	Passed	Remaining
399	31081	46621
400	31140	46516
401	31197	46408
402	31265	46316
403	31324	46211
404	31388	46113
405	31445	46006
406	31505	45902
407	31563	45797
408	31624	45697
409	31688	45600
410	31746	45495
411	31809	45397
412	31865	45290
413	31926	45190
414	31985	45088
415	32046	44988
416	32106	44887
417	32166	44786
418	32225	44685
419	32288	44588
420	32359	44504
421	32431	44419
422	32490	44319
423	32549	44217
424	32609	44118
425	32666	44016
426	32724	43913
427	32785	43815
428	32841	43711
429	32897	43608
430	32962	43517
431	33022	43418
432	33074	43309
433	33131	43208
434	33191	43111
435	33260	43024
436	33320	42928
437	33379	42829
438	33468	42769
439	33525	42669
440	33600	42591
441	33660	42493
442	33718	42395
443	33775	42295
444	33833	42197
445	33893	42100
446	33953	42005
447	34015	41912
448	34075	41816
449	34134	41720
450	34205	41637
451	34263	41541
452	34322	41445
453	34387	41355
454	34443	41256
455	34508	41167
456	34568	41073
457	34626	40977
458	34686	40883
459	34747	40790
460	34811	40701
461	34870	40606
462	34927	40510
463	35012	40445
464	35070	40350
465	35144	40272
466	35202	40177
467	35263	40086
468	35324	39994
469	35386	39904
470	35446	39811
471	35506	39719
472	35564	39624
473	35624	39532
474	35682	39439
475	35741	39346
476	35803	39255
477	35858	39159
478	35915	39064
479	35972	38970
480	36034	38881
481	36100	38797
482	36166	38712
483	36229	38625
484	36290	38535
485	36349	38443
486	36406	38350
487	36474	38268
488	36550	38194
489	36618	38112
490	36687	38032
491	36755	37951
492	36822	37867
493	36888	37784
494	36946	37692
495	37014	37612
496	37071	37519
497	37129	37428
498	37188	37337
499	37243	37243
500	37298	37149
501	37355	37058
502	37409	36963
503	37473	36879
504	37540	36796
505	37604	36712
506	37673	36633
507	37753	36564
508	37831	36493
509	37910	36423
510	37986	36350
511	38058	36274
512	38124	36192
513	38190	36109
514	38250	36022
515	38308	35932
516	38380	35856
517	38464	35791
518	38530	35709
519	38587	35619
520	38654	35538
521	38723	35459
522	38810	35396
523	38881	35320
524	38954	35244
525	39022	35164
526	39085	35080
527	39144	34992
528	39203	34905
529	39262	34817
530	39320	34729
531	39378	34641
532	39457	34571
533	39524	34491
534	39580	34402
535	39650	34324
536	39718	34245
537	39776	34157
538	39832	34068
539	39893	33983
540	39950	33895
541	40009	33809
