iter	MultiClass
0	1.767467817
1	1.632520984
2	1.515028627
3	1.417027677
4	1.334464781
5	1.258310185
6	1.199120963
7	1.123028826
8	1.071013082
9	1.028817858
10	0.9806815066
11	0.9467337199
12	0.9117043073
13	0.8765155375
14	0.8446360466
15	0.8149896403
16	0.7866992592
17	0.7590490081
18	0.7327598905
19	0.7140522104
20	0.6968689585
21	0.6711647683
22	0.6565802946
23	0.6414981259
24	0.6245896109
25	0.6098042511
26	0.5954291419
27	0.5817882542
28	0.5646269273
29	0.5520275589
30	0.5413757597
31	0.5344047595
32	0.5246862011
33	0.5176560151
34	0.5088986481
35	0.504768571
36	0.4913835829
37	0.4832946772
38	0.4787076574
39	0.4677861777
40	0.4577109033
41	0.4532163132
42	0.4462548864
43	0.4381139842
44	0.433462477
45	0.4298453047
46	0.4239421825
47	0.4179296009
48	0.4110393003
49	0.4092714577
50	0.4046478946
51	0.3988663404
52	0.3916971292
53	0.3862240016
54	0.3815003359
55	0.378204059
56	0.371840669
57	0.3667564119
58	0.3619195795
59	0.3604423936
60	0.3583175769
61	0.3491683703
62	0.3457799891
63	0.345377637
64	0.3434102496
65	0.3417472911
66	0.3383382047
67	0.3330668267
68	0.3280405382
69	0.3254595864
70	0.3227259175
71	0.3207592632
72	0.3182691425
73	0.3142954669
74	0.3123356289
75	0.3115108851
76	0.3089928447
77	0.3075210713
78	0.3048707037
79	0.3034189141
80	0.3007260892
81	0.2965447427
82	0.2932516652
83	0.2902806874
84	0.289653624
85	0.2868931745
86	0.285681061
87	0.2841481658
88	0.2831811611
89	0.2804764087
90	0.2800613768
91	0.2757382512
92	0.2736778221
93	0.2708405838
94	0.2685853944
95	0.2656411518
96	0.2631318206
97	0.2587867902
98	0.2550887496
99	0.2521768074
100	0.2506369058
101	0.2493332179
102	0.2484868155
103	0.2452914739
104	0.2394449546
105	0.2368029815
106	0.2349323395
107	0.2309949757
108	0.2292985642
109	0.2264452501
110	0.2235231433
111	0.2215360817
112	0.2172336392
113	0.2162263802
114	0.2147051892
115	0.211434949
116	0.2087642205
117	0.207759973
118	0.2072656388
119	0.2043386269
120	0.2024185255
121	0.1995259485
122	0.1950914827
123	0.1918581247
124	0.1899754847
125	0.1888450219
126	0.1880532237
127	0.1868928456
128	0.1854714696
129	0.1838030819
130	0.181712405
131	0.1802563225
132	0.1785231157
133	0.1781317634
134	0.1770534782
135	0.1762947049
136	0.1754603384
137	0.1750382379
138	0.1741102417
139	0.1726265572
140	0.1718974909
141	0.1710943837
142	0.1705036645
143	0.1693612265
144	0.168487442
145	0.1674345654
146	0.1659329968
147	0.1649573677
148	0.1635950876
149	0.1620759929
150	0.1607489596
151	0.1598271095
152	0.1586435142
153	0.1564183616
154	0.1548404226
155	0.152306531
156	0.1513902312
157	0.1500024788
158	0.1485900229
159	0.1473907048
160	0.1463155564
161	0.145434432
162	0.1438761012
163	0.1427239218
164	0.1422685787
165	0.1414058086
166	0.1398306931
167	0.139640202
168	0.1393956364
169	0.1387007231
170	0.1380037613
171	0.1366301244
172	0.1361301664
173	0.1353107773
174	0.135096575
175	0.1344973792
176	0.1339818058
177	0.1333695161
178	0.1327333284
179	0.1323985832
180	0.1308152689
181	0.1294668954
182	0.12909176
183	0.1281228404
184	0.1273294743
185	0.1266450199
186	0.1262316298
187	0.1258139811
188	0.1253241891
189	0.1246567809
190	0.1242344974
191	0.1229074391
192	0.1215476401
193	0.1209803168
194	0.1206444776
195	0.1202824703
196	0.1197430832
197	0.119242268
198	0.1190801382
199	0.1187642488
200	0.1183733966
201	0.1177475617
202	0.1173968204
203	0.116906387
204	0.1163094513
205	0.1161637462
206	0.1159283798
207	0.1153426748
208	0.113986459
209	0.1134635666
210	0.1129937196
211	0.1126119206
212	0.1124717683
213	0.1122033398
214	0.1120009118
215	0.1116239388
216	0.1110811545
217	0.1098903409
218	0.109235122
219	0.1086574973
220	0.1080741971
221	0.1070313142
222	0.1062769262
223	0.1061655903
224	0.1058903647
225	0.1051937438
226	0.1047893747
227	0.1042967289
228	0.1039664814
229	0.103688591
230	0.1035017114
231	0.1029878368
232	0.1029520204
233	0.1023748116
234	0.1019483298
235	0.1018406207
236	0.1016313269
237	0.1013067293
238	0.100873734
239	0.1001053452
240	0.09963595121
241	0.09918427224
242	0.09882588459
243	0.09879327319
244	0.0983635783
245	0.09812047836
246	0.09763351496
247	0.09729025894
248	0.09702964768
249	0.09672037938
250	0.09657679576
251	0.09613746373
252	0.09560390072
253	0.09517770887
254	0.09471512295
255	0.09439206726
256	0.09407102502
257	0.09363247385
258	0.09341866429
259	0.09319905897
260	0.09312548342
261	0.09293564365
262	0.09273376027
263	0.0923741053
264	0.09215637136
265	0.0920463216
266	0.09098387685
267	0.09061751936
268	0.09014240585
269	0.08995832212
270	0.08955414612
271	0.08858030371
272	0.08709443923
273	0.08679495988
274	0.08635966765
275	0.08588780963
276	0.08517243444
277	0.08482487975
278	0.08457732049
279	0.08434603824
280	0.08391323239
281	0.08359332014
282	0.08340246724
283	0.08268053994
284	0.08256455139
285	0.08233507766
286	0.0818794846
287	0.08106846223
288	0.08078947816
289	0.08058147644
290	0.08029078738
291	0.08012130761
292	0.07999095791
293	0.07962737965
294	0.07952126583
295	0.07919076599
296	0.07883626868
297	0.07862815418
298	0.07841900665
299	0.07792368194
300	0.07780406723
301	0.07727498153
302	0.07683248468
303	0.07644663854
304	0.07615837252
305	0.07568610861
306	0.07539603853
307	0.07529950341
308	0.07514749729
309	0.0747727403
310	0.07441445413
311	0.07431184578
312	0.07421666517
313	0.07408266982
314	0.07390316523
315	0.07351545331
316	0.07343319212
317	0.07317998517
318	0.07290972111
319	0.07238687021
320	0.07217481762
321	0.07205202339
322	0.07140872644
323	0.07120393968
324	0.07091175198
325	0.07063395781
326	0.07038581859
327	0.07004065196
328	0.06987024096
329	0.06971257192
330	0.06960134526
331	0.06940444372
332	0.0690458072
333	0.06893917809
334	0.068882527
335	0.06854708144
336	0.06841110858
337	0.06831357274
338	0.0681229398
339	0.0678365799
340	0.06720288924
341	0.06707283957
342	0.06683404466
343	0.06672709924
344	0.06655604379
345	0.06564767164
346	0.06556174148
347	0.06541122198
348	0.06524529424
349	0.06499591229
350	0.06481903607
351	0.06457047761
352	0.06446306247
353	0.06432200693
354	0.06395237348
355	0.0638145226
356	0.06376286794
357	0.06363574944
358	0.06337924139
359	0.06309810762
360	0.06303346085
361	0.06293764838
362	0.06276403133
363	0.06259830236
364	0.0624054698
365	0.06213430454
366	0.06191459776
367	0.0617362618
368	0.0617000767
369	0.06161122067
370	0.06158388892
371	0.0614729621
372	0.06084861337
373	0.06050299209
374	0.06031432716
375	0.06011013986
376	0.06006757472
377	0.05973259942
378	0.05942224065
379	0.05934135973
380	0.05919282082
381	0.05905328952
382	0.05856521394
383	0.05798313862
384	0.05792723634
385	0.05784629409
386	0.05754236399
387	0.05727980632
388	0.05705593849
389	0.0569541106
390	0.05664764474
391	0.05662904122
392	0.05654173801
393	0.05632390915
394	0.05618790416
395	0.05580745191
396	0.055723678
397	0.05562896761
398	0.05523970047
399	0.05521666761
400	0.05499514243
401	0.05475677524
402	0.05455437659
403	0.05427170879
404	0.05412995482
405	0.05387487987
406	0.05380129028
407	0.05373991706
408	0.05358277861
409	0.0535503829
410	0.05339499072
411	0.05331688155
412	0.05316915325
413	0.05310075597
414	0.05283753137
415	0.05265981164
416	0.05243743246
417	0.05229783585
418	0.05216556721
419	0.0519519929
420	0.05192918012
421	0.05167866617
422	0.05144897831
423	0.05127456367
424	0.05115577265
425	0.05106832847
426	0.05086788781
427	0.05065380858
428	0.05061972139
429	0.05040367991
430	0.05030434564
431	0.05009260125
432	0.05006803064
433	0.04990544962
434	0.04985731934
435	0.04975492685
436	0.04946873213
437	0.04939705865
438	0.04917702563
439	0.04903263445
440	0.0490144417
441	0.04887500291
442	0.04879845401
443	0.04878878142
444	0.04866132191
445	0.04851046294
446	0.04829086767
447	0.04820356022
448	0.04810099289
449	0.04803664465
450	0.04794736035
451	0.04783642983
452	0.04776608986
453	0.04773163237
454	0.04749366256
455	0.04733455886
456	0.04720212866
457	0.04711672835
458	0.04705954391
459	0.04666569164
460	0.04661025119
461	0.04652194907
462	0.04647767903
463	0.04639816425
464	0.04613954402
465	0.04580374894
466	0.04578424591
467	0.04573637447
468	0.04565665152
469	0.0455410951
470	0.04551818201
471	0.04548227107
472	0.04543977573
473	0.04539567261
474	0.04527672267
475	0.04519258382
476	0.04517119964
477	0.04502461591
478	0.04497663811
479	0.04491360927
480	0.0448403189
481	0.04479645793
482	0.04473807183
483	0.04471304338
484	0.04456964988
485	0.0444463643
486	0.04443700886
487	0.04428787537
488	0.04426257922
489	0.04417022486
490	0.04406663778
491	0.04398089412
492	0.04378710315
493	0.04364042467
494	0.04361794212
495	0.04349529598
496	0.04340043959
497	0.04326158475
498	0.04317350286
499	0.04313486354
500	0.04276661218
